englishTerm,koreanTerm,explanation
AFI,양수지수,모체 복부를 배꼽과 흑선을 중심으로 4등분 한 후에, 각기 등분한 부분에서 가장 큰 양수의 수직선을 확인하고 측정하여 각 등분의 길이를 합친숫자임. 양수량을 측정하는 방법.
Abdomen,배,신체 부분
Abdomen,복부,신체 부분
Abdominal binder,복대,복부수술 후에 이용하는 것과 임신5개월 이후의 임산부가 이용하는 것의 2종류가 있다. 후자의 경우는 (1) 임산부 복부의 보온, (2) 자궁 및 태아의 정상위치를 유지하며, (3) 복벽이 이완 되는 것을 예방한다. (4) 외부의 자극에서 태아를 지킨다, (5) 임산부의 동작을 경쾌하게 하거나, (6) 모친으로서의 자각을 일으키는 등의 목적에 이용된다.[간호학대사전]
Abdominal cavity,배안,체강
Abdominal cavity,복강,체강
Abdominal circumference,배 둘레,
Abdominal muscle,복근,복부에 있는 근육, 몸을 전후좌우로 굽히고 돌리는 것 외에 호흡 운동의 일부 작용을 맡고 있으며, 배뇨, 배변, 분만 때 배의 압력을 높이는 역할을 함.
Abdominal muscle,배근육,복부에 있는 근육, 몸을 전후좌우로 굽히고 돌리는 것 외에 호흡 운동의 일부 작용을 맡고 있으며, 배뇨, 배변, 분만 때 배의 압력을 높이는 역할을 함.
Abdominal pain,배앓이,복부영역에서 느끼는 통증의 총칭으로 내장통(内臟痛),체성통(體性痛),관련통(關聯痛)의 3형으로 나뉘어진다. 1)내장자체에 의거한 통증(내장통)은 장기 평활근의 신전, 자극등에 의해 주로 자율신경에 의해 느끼며, 국한되지 않고 일정 부위의 둔한 통증이며 체위변환등에 의해 감소하는 경우가 있다. 2)벽측복막, 장간막에 의거한 통증(체성통)은 그들의 염증, 기계적 자극 등에 의해 뇌척수신경을 매개로 전달되며 비교적 국한성으로 찌르는 듯한 예리한 통증으로 움직임에 의해 심해지는 경우가 많다. 3)관련통은 복강장기의 병변에 의해 내장지각반사에 의거해서 일정 부위의 피부에 느껴지는 통증이다. 그러나 실제로는 이들 통증이 복잡하게 조합되어서 복통으로 느껴진다.[간호학대사전]
Abdominal pain,복통,복부영역에서 느끼는 통증의 총칭으로 내장통(内臟痛),체성통(體性痛),관련통(關聯痛)의 3형으로 나뉘어진다. 1)내장자체에 의거한 통증(내장통)은 장기 평활근의 신전, 자극등에 의해 주로 자율신경에 의해 느끼며, 국한되지 않고 일정 부위의 둔한 통증이며 체위변환등에 의해 감소하는 경우가 있다. 2)벽측복막, 장간막에 의거한 통증(체성통)은 그들의 염증, 기계적 자극 등에 의해 뇌척수신경을 매개로 전달되며 비교적 국한성으로 찌르는 듯한 예리한 통증으로 움직임에 의해 심해지는 경우가 많다. 3)관련통은 복강장기의 병변에 의해 내장지각반사에 의거해서 일정 부위의 피부에 느껴지는 통증이다. 그러나 실제로는 이들 통증이 복잡하게 조합되어서 복통으로 느껴진다.[간호학대사전]
Abdominal wall,복벽,복강 앞쪽의 벽, 피부, 근육, 복막 따위로 이루어져 있음.
Abdominal wall,배벽,복강 앞쪽의 벽, 피부, 근육, 복막 따위로 이루어져 있음.
Abdominal wall defect,복벽 결손,
Abdominal wall defect,배벽결손,
Ability,능력,상태
Abnormal behavior,이상 행동,적응을 못하거나 정상적 기준에서 벗어난 행동. 부적응 행동, 이상심리라고도 함.
Abortion,낙태,손상된 생식기계: 임신을 중절 또는 종료하고 태아를 방출하는 것.
Abortion,유산,손상된 생식기계: 임신을 중절 또는 종료하고 태아를 방출하는 것.
Abscess,고름집,조직의 붕괴에 의하여 생긴 고름이 강내(腔內)에 국소적으로 고인것
Abscess,농양,조직의 붕괴에 의하여 생긴 고름이 강내(腔內)에 국소적으로 고인것
Absorption,흡수,신체 과정: 음식과 영양소가 소화관을 통해 신체로 들어가는 것.
Abstinence,금단,음식물, 자극물, 성욕의 남용 또는 방종을 금지하는 것.
Abuse,남용,손상된 행위: 건강에 해로울 수 있고 중독될 수 있는 치료적 효과없이 화학적으로 활성되는 물질의 오용
Abuse,학대,공격적 행동: 신체적 혹은 정서적인 모욕, 폭력 혹은 학대하는 행위.
Access,접근,상태: 무엇인가에 대한 입장 혹은 사용할 수 있는 능력.
Accident prevention,사고예방,질병으로 인한 사망의 저하와 동시에 사고로 인한 사망의 중요성이 인식되게 되었다. 사고의 방지에도 일반 질병과 같은 역학적(疫學的) 요인을 고려할 필요가 있다.[간호학대사전]
Acholic stool,무담즙변,대변
Acne,여드름,손상된 피부: 피부샘 또는 모낭의 염증에 기인하는 피부 발진.
Active exercise,능동운동,환자가 스스로의 힘으로 중력의 영향아래서(이를테면 사지의 무게와 같은 중력을 이겨내고), 또는 중력의 영향을 제거한 조건하에서 행하는 수의운동이다. 지(肢)의 정맥계, 림프계의 순환을 개선하고 부종을 제거하거나 관절가동역을 유지하는데 효과적이다. 근력증강훈련은 근력3(fair) 정도의 가까스로 항중력운동이 가능한 근에는 효과적이다. 그밖의 경우에는 반쯤 밖에서 도와 주는 개조자조운동 active assistive exercise, 요법사의 도수나 추 등을 부하한 저항자조운동 active resistive exercise이 효과적이다. 이러한 것을 포함해서 넓은 뜻의 자조운동으로 부르는 경우가 있다.[간호학대사전]
Activities of daily living,일상활동활동,
Activities of daily living alteration,일상활동장애,
Activities of daily living alteration deteriorated,일상활동장애 악화됨,
Activities of daily living alteration improved,일상활동장애 개선됨,
Activities of daily living alteration stabilized,일상활동장애 안정됨,
Activity,활동,1) 몸을 움직여 행동함.
2) 동물이나 식물이 생명 현상을 유지하기 위하여 행동이나 작용을 활발히 함. 또는 그런 일.[표준국어대사전]
Activity alteration,활동장애,
Activity alteration deteriorated,활동장애 악화됨,
Activity alteration improved,활동장애 개선됨,
Activity alteration stabilized,활동장애 안정됨,
Activity care,활동간호,
Activity component,활동요소,
Activity intolerance,활동지속성장애,생리적 또는 심리적으로 일상활동을 수행할 수 없음
Activity intolerance deteriorated,활동지속성장애 악화됨,
Activity intolerance improved,활동지속성장애 개선됨,
Activity intolerance risk,활동지속성장애 위험성,
Activity intolerance risk deteriorated,활동지속성장애 위험성 악화됨,
Activity intolerance risk improved,활동지속성장애 위험성 개선됨,
Activity intolerance risk stabilized,활동지속성장애 위험성 안정됨,
Activity intolerance stabilized,활동지속성장애 안정됨,
Acupoint,경혈,경락을 따라서 일정한 원리에 의해 분포되어 있는 작은 구멍에 해당하는 곳으로, 몸 밖의 기운과 열락 및 각 장부의 기운이 서로 통하는 자리이며 침구치료의 시술점인 동시에 질병이 발생했을 때, 압통, 과민반응, 경혈부위의 피부색의 변화, 전기저항의 감소 등의 변화 등을 통해 질병의 존재를 알려주는 반응점인 것이다.
Acupressure,지압(술),엄지손가락이나 손바닥 등으로 몸 표면의 일정 부위를 압박함으로써 생체의 변조(變調)를 교정하거나 건강의 증진 또는 질병의 치료를 도모하는 수기요법(手技療法).[두산백과]
Acupuncture,침술,금속제의 침으로 인체의 일정한 혈자리를 찔러, 각종의 수기법을 침을 통해 운용하여 영위기혈(營衛氣血)을 조정하는 것
Acute,급성-,시작: 갑자기, 짧은 시간 간격으로 발생함
Acute pain control,급성통증조절,
Acute pain deteriorated,급성통증 악화됨,
Acute pain improved,급성통증 개선됨,
Acute pain stabilized,급성통증 안정됨,
Acute confusion,급성 혼돈,
Acute pain,급성 통증,
Adaptation,적응,대처: 새로운 상황을 관리하려는 것.
Adjustment impairment,적응장애,
Adjustment impairment deteriorated,적응장애 악화됨,
Adjustment impairment improved,적응장애 개선됨,
Adjustment impairment stabilized,적응장애 안정됨,
Admission,입원,사건 또는 에피소드
Adolescence,청소년기,발달 시기
Adolescent,청소년,개인
Adrenal gland,부신,콩팥위에 존재하는 피라밋모양의 구조물. 겉질과 속질로 되어 있으며 호르몬의 분비가 주역할.
Adrenal gland,콩팥위샘,콩팥위에 존재하는 피라밋모양의 구조물. 겉질과 속질로 되어 있으며 호르몬의 분비가 주역할.
Adult day center,주간보호센터,
Adulthood,성인기,발달 시기
Adverse drug reaction,약물부작용,약물에 대한 반응
Aeration,환기,1) 폐에서 혈액에 의한 산소와 이산화탄소의 교환 2) 공기에 조직이나 체액을 노출시키거나, 산소와 이산화탄소 같은 다른 가스를 인위적으로 충전시키는 과정[Mosby 의학간호학대사전]
Aeration,통기,1) 폐에서 혈액에 의한 산소와 이산화탄소의 교환 2) 공기에 조직이나 체액을 노출시키거나, 산소와 이산화탄소 같은 다른 가스를 인위적으로 충전시키는 과정[Mosby 의학간호학대사전]
Aerosol,분무제,물질
